City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
325,Vao,NC,-22.6667,167.4833,77.76,82,29,15.26,scattered clouds
326,Amambai,BR,-23.1042,-55.2258,87.71,39,54,7.74,broken clouds
327,Zhangjiakou,CN,40.81,114.8794,9.82,57,0,4.54,light snow
328,Ahipara,NZ,-35.1667,173.1667,71.92,78,100,15.5,overcast clouds
329,Dom Pedrito,BR,-30.9828,-54.6731,92.03,24,0,7.38,clear sky
330,Istok,XK,42.7808,20.4875,32.92,85,73,5.23,broken clouds
331,Kang,BW,-23.6752,22.7876,75.97,59,100,8.1,overcast clouds
332,Rubiataba,BR,-15.1644,-49.8033,74.77,89,75,3.44,light rain
333,Chibombo,ZM,-14.6569,28.0706,63.81,97,52,4.14,light rain
334,Touros,BR,-5.1989,-35.4608,83.3,75,62,11.99,broken clouds
335,Kaitangata,NZ,-46.2817,169.8464,63.39,88,100,4.54,overcast clouds
336,Kapit,MY,2.0167,112.9333,71.69,99,92,0.96,overcast clouds
337,Muros,ES,42.7762,-9.0603,53.1,69,0,10.27,clear sky
338,Zhigansk,RU,66.7697,123.3711,-28.26,99,88,9.17,overcast clouds
339,Fallon,US,39.4735,-118.7774,39.92,29,20,16.11,few clouds
340,Camacha,PT,33.0833,-16.3333,63.54,88,20,21.85,few clouds
341,Banff,CA,51.1762,-115.5698,12.58,66,100,6.91,overcast clouds
342,Port Macquarie,AU,-31.4333,152.9167,75.16,86,100,7.85,overcast clouds
